Code,Name,Type,Internal,External,Back Paper,Grade
KAS102T,Engineering Chemistry,Theory,41,69,--,B+
KAS103T,Engineering Mathematics-I,Theory,42,34,--,C
KEC101T,Emerging Domain in Electronics Engineering,Theory,47,38,--,C
KCS101T,Programming for Problem Solving,Theory,48,66,--,B+
KMC102,Emerging Technology for Engineering,Theory,25,13,--,B+
KAS152P,Engineering Chemistry Lab,Practical,22,16,--,B+
KEC151P,Electronics Engineering Lab,Practical,20,23,--,A
KCS151P,Programming for Problem Solving,Practical,23,23,--,A+
KWS151P,Mechanical Workshop Lab,Practical,45,44,--,A
KNC101,Soft Skill I,CA,21,17,--,
